"","ID","adj.P.Val","P.Value","t","B","logFC","Gene.ID","Gene.symbol","Gene.title"
"221683_s_at","221683_s_at",1.26218060751567e-06,2.05832044274453e-10,-10.7810090199225,13.8341312781468,-2.59392161645833,"80184","CEP290","centrosomal protein 290"
"220342_x_at","220342_x_at",1.26218060751567e-06,2.07707382943895e-10,-10.7759104422447,13.8256968655203,-2.16919450933333,"80267","EDEM3","ER degradation enhancing alpha-mannosidase like protein 3"
"207605_x_at","207605_x_at",1.26218060751567e-06,3.26364122541156e-10,-10.5239648675838,13.404692471705,-2.170875329875,"51351","ZNF117","zinc finger protein 117"
"219754_at","219754_at",2.21729606219926e-06,6.87995882153155e-10,-10.1168774639359,12.706678985119,-2.55490874925,"55285","RBM41","RNA binding motif protein 41"
"222286_at","222286_at",3.96673728591226e-06,1.4359601283232e-09,-9.72545174484737,12.0143125397639,-2.0840509933125,"6619","SNAPC3","small nuclear RNA activating complex polypeptide 3"
"210042_s_at","210042_s_at",4.53330201747295e-06,2.29930923018052e-09,-9.4801264131386,11.5695362452626,-3.50605472295833,"1522","CTSZ","cathepsin Z"
"218228_s_at","218228_s_at",4.53330201747295e-06,2.54471263396294e-09,-9.42778882509153,11.4735526018945,-2.80771577420833,"80351","TNKS2","tankyrase 2"
"202840_at","202840_at",5.53763206228241e-06,3.43649918536427e-09,-9.27376871307712,11.1888375474207,-2.11219362495834,"8148","TAF15","TATA-box binding protein associated factor 15"
"219679_s_at","219679_s_at",7.10083783431197e-06,7.71151649793408e-09,-8.8668894708016,10.4203679737221,-2.10126464772917,"51322","WAC","WW domain containing adaptor with coiled-coil"
"219850_s_at","219850_s_at",8.13619226612007e-06,1.10194793998247e-08,-8.69055614276255,10.0798963994222,-3.86001533225,"26298","EHF","ETS homologous factor"
"214483_s_at","214483_s_at",8.13619226612007e-06,1.18320238413338e-08,-8.65564886330978,10.0119594036547,-2.52702379772917,"27236","ARFIP1","ADP ribosylation factor interacting protein 1"
"211488_s_at","211488_s_at",8.64375275136894e-06,1.47511941250026e-08,-8.54794940164695,9.80123255471005,-2.40222133791667,"3696","ITGB8","integrin subunit beta 8"
"208003_s_at","208003_s_at",8.98449061379272e-06,1.57973150369216e-08,-8.51463733687811,9.73571029421611,-2.17397443283333,"10725","NFAT5","nuclear factor of activated T-cells 5"
"204243_at","204243_at",9.39239703434631e-06,1.72564889149965e-08,-8.47178773773569,9.65118969425432,-2.27177951920834,"6018","RLF","rearranged L-myc fusion"
"212249_at","212249_at",9.89326948193691e-06,2.19998235363959e-08,-8.35460750676038,9.41867907273032,-2.64771031095834,"5295","PIK3R1","phosphoinositide-3-kinase regulatory subunit 1"
"201691_s_at","201691_s_at",1.00003826977399e-05,2.31481281126765e-08,-8.33016747060689,9.36993114589671,-2.0860618605625,"7163","TPD52","tumor protein D52"
"212926_at","212926_at",1.00381266240464e-05,2.56686609614926e-08,-8.28063675885899,9.27086883998644,-2.23796297764583,"23137","SMC5","structural maintenance of chromosomes 5"
"211022_s_at","211022_s_at",1.00381266240464e-05,2.5955749661391e-08,-8.27531601725912,9.26020585470945,-2.29756411545833,"546","ATRX","ATRX, chromatin remodeler"
"209349_at","209349_at",1.13298773700089e-05,3.16395189522926e-08,-8.1808893008347,9.07027979414612,-2.53168657629167,"10111","RAD50","RAD50 double strand break repair protein"
"205499_at","205499_at",1.16625529054665e-05,3.44864557307808e-08,8.13997828690637,8.98758678936254,2.693217648,"27286","SRPX2","sushi repeat containing protein, X-linked 2"
"217427_s_at","217427_s_at",1.16625529054665e-05,3.49810243841888e-08,-8.13322736025244,8.97391760364932,-2.76344866908333,"7290","HIRA","histone cell cycle regulator"
"202118_s_at","202118_s_at",1.2168635955142e-05,3.71282784999419e-08,-8.10501421253645,8.91671962921961,-2.27434382954167,"8895","CPNE3","copine 3"
"221761_at","221761_at",1.50497507128613e-05,5.21452809516321e-08,-7.94510888630286,8.59032937045444,-2.17145525239584,"159","ADSS","adenylosuccinate synthase"
"206529_x_at","206529_x_at",1.61871779918906e-05,5.78498526513845e-08,-7.89655143050579,8.49047483104129,-3.93820901252083,"5172","SLC26A4","solute carrier family 26 member 4"
"203593_at","203593_at",1.61871779918906e-05,5.87556038614784e-08,-7.88929775412315,8.47552859565752,-2.171395614125,"23607","CD2AP","CD2 associated protein"
