"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04520","hsa04520","Adherens junction","57/3790","71/8163",4.27945706366102e-09,7.57981478905081e-07,5.40347785659621e-07,"5777/1956/7082/6714/5879/2260/25945/10810/8976/117178/8826/999/3643/7048/6934/4301/4233/51176/1459/5787/81607/29119/10458/2241/5770/1496/1460/5792/56288/10163/1457/2534/10580/83439/4088/1499/52/5594/7046/5797/2064/6615/7525/6885/4089/9855/87/8936/1495/6932/6591/4008/81/5819/7454/60/5818",57
"hsa05014","hsa05014","Amyotrophic lateral sclerosis","223/3790","364/8163",4.36876933086502e-09,7.57981478905081e-07,5.40347785659621e-07,"7175/5608/10010/64446/2066/2891/6391/3309/3710/5705/27089/4722/572/516/5691/4728/5530/5702/54539/56893/3831/4927/10383/10133/6506/1345/5700/5714/515/5879/10452/9818/10126/7157/400916/4744/9377/220988/2882/834/4704/5532/55706/10189/9217/126328/283/9542/3798/7494/23279/3181/5685/65018/4724/4928/5690/10013/1337/55916/468/8878/1347/4705/23511/10376/637/4217/146754/29978/7846/518/4708/56171/1349/9782/7381/79902/8701/23225/1770/5216/498/84557/5709/8678/84790/7979/1351/2521/5719/56901/5713/23636/25978/81929/6428/29110/10381/9821/203068/7384/22863/3800/4741/1340/5603/5861/4712/6647/129401/84516/5684/847/311/7132/25981/2906/4512/4707/5692/23435/22926/5689/4700/9688/6389/4710/9451/4702/3178/9706/196385/100506742/5289/1767/9972/10121/5868/79139/2475/5682/23064/1768/127602/2733/1329/5715/522/581/1327/4686/374291/80208/2904/27019/4701/513/29796/201625/4716/4726/7802/506/57122/10213/4513/55626/5693/4541/83544/26100/7186/539/11258/55967/5694/55255/3799/2081/3084/64837/5695/517/51079/6432/4706/5600/5686/596/10120/348995/5683/347733/55860/836/9896/6396/4696/1350/10540/4842/2903/4694/55567/10762/2902/56000/1639/60/51164/4723/140775/7415/5704/4218/5217/23165/29107/7385/84617/90550/1346",223
"hsa04110","hsa04110","Cell cycle","90/3790","126/8163",9.02995611880212e-09,1.04446492440811e-06,7.4457532909421e-07,"9134/7272/29945/595/3065/7534/5591/7157/1875/983/4171/4173/9700/890/4085/993/898/5111/7531/891/9126/4172/10459/1022/7027/996/8318/990/995/1111/9184/9133/4176/701/8697/1029/1870/1028/51433/991/8555/699/51434/10971/9088/5347/9232/896/4087/4193/7029/25/545/1874/8243/6502/1017/894/1869/8379/8556/4175/25906/23594/1019/1027/8881/4998/10274/51529/5925/7465/4088/6500/9978/4174/51343/1026/4999/3066/4089/8900/7529/85417/119504/5001/472/2810/2932/10926",90
"hsa04141","hsa04141","Protein processing in endoplasmic reticulum","114/3790","171/8163",5.62365425794398e-08,4.8785200687664e-06,3.47778618583378e-06,"80267/3320/5887/57134/823/6184/3703/3309/9601/9632/56893/51726/4780/23640/7326/10130/27102/23193/824/22872/1650/9532/2923/821/5602/7322/10525/7494/6748/6746/29927/56886/10294/55757/54431/56605/7993/7321/258010/468/11231/9871/811/4217/29978/7095/10960/10483/10961/3998/6238/10952/51465/23190/4287/51009/10273/5601/6400/5599/7466/80343/10299/3310/7184/10277/23480/10113/27248/6747/7327/22926/6500/5589/9451/9978/100506742/6185/51128/79139/1603/267/55741/581/23645/573/1410/3300/55176/7186/6745/7991/2081/55968/5886/3306/118424/7353/5034/3326/10970/22824/596/51360/9709/23471/9373/54788/6396/51619/10802/5611/7415/4121",114
"hsa04120","hsa04120","Ubiquitin mediated proteolysis","95/3790","142/8163",5.61280720067493e-07,3.8952881972684e-05,2.7768625098076e-05,"330/90293/6923/9040/29945/10055/7317/23624/7325/65264/7326/4214/134111/7428/9320/8450/22954/7320/7322/7334/64326/7319/11065/672/7328/9817/10401/23759/7321/996/3093/23327/8697/55284/7314/8554/51433/991/51465/10477/51434/331/27338/23295/4193/10273/8945/6502/6233/25906/57154/10277/9021/8881/4591/27339/51529/7327/6500/867/9978/51343/9820/7332/10075/55120/89910/23221/8451/55294/9690/83737/9063/868/1161/51366/55958/9886/7329/8925/54926/8065/26091/118424/119504/55585/389898/9039/140739/51619/8651/1643/10054/26272/7318",95
"hsa03030","hsa03030","DNA replication","31/3790","36/8163",8.53356839151586e-07,4.93524705309334e-05,3.51822556492321e-05,"246243/4171/4173/10535/5982/5111/5426/4172/5983/1763/5985/4176/5424/5425/2237/5427/5984/3978/54107/6119/10714/4175/4174/5557/56655/23649/84153/5981/79621/6117/5558",31
"hsa00310","hsa00310","Lysine degradation","47/3790","63/8163",4.73237522908358e-06,0.000214163116772002,0.000152672023180405,"2122/51166/79823/224/2639/6419/56950/7468/7799/10157/83852/2146/5352/55870/1892/55904/2145/38/5351/79813/55526/79723/3033/4297/51268/217/10919/387893/64324/58508/1962/85007/80854/8985/29072/64754/501/63976/93166/9757/79709/9869/1738/84787/54904/55217/6839",47
"hsa05010","hsa05010","Alzheimer disease","221/3790","384/8163",4.93747819647267e-06,0.000214163116772002,0.000152672023180405,"5295/5332/64116/8323/7855/351/8324/823/29985/4035/57142/6391/3710/5705/27089/4722/572/516/5691/4728/5530/5702/54539/3831/10383/8322/6622/4311/1345/23236/5700/5714/515/3028/3708/2776/7482/201266/10000/824/3643/7472/9377/25800/4704/5532/776/3416/11211/126328/5602/3798/355/5290/7494/23401/5970/4891/5685/25825/4724/83464/5690/1131/55851/1337/468/1459/8471/1347/4705/10376/489/291/8660/637/4217/7846/518/4708/8503/1020/1349/208/7381/55630/840/7419/1460/498/5709/8678/84790/7979/1351/8312/5719/56901/5713/5481/322/23385/1536/23621/10381/5601/9821/203068/5291/7384/22863/3800/1452/5599/8321/1340/4712/2597/91860/5684/1457/5664/4893/7132/55334/2906/5663/207/4041/4512/5293/4707/5692/22926/5689/4700/348/841/91252/6389/4710/9451/1499/4702/5594/9706/100506742/5289/6263/2475/5682/293/488/1329/5715/522/1327/374291/2904/4701/513/51107/5296/29796/7976/4716/4726/506/10213/4513/55626/102/1454/5693/4541/26100/7186/2915/539/27123/55967/5694/7476/3799/2081/64837/5695/3845/1857/517/51079/4706/3551/292/8313/5686/29986/7475/7922/5683/347733/836/4696/1350/369/10313/4842/2903/2932/4694/2902/7474/4723/27035/5704/7385/6868/775/84617/90550/1346",221
"hsa05200","hsa05200","Pathways in cancer","295/3790","531/8163",8.15611028095666e-06,0.000314463363054662,0.000224173791347932,"5295/6387/3320/7175/330/5332/1284/9252/3572/3082/7849/8323/7855/9134/8324/2099/54331/2122/6923/3913/4259/1612/2948/6776/3455/572/2737/9446/2100/2261/595/5337/10672/3597/1956/23566/3909/8322/3481/2786/4780/23236/3911/3065/5879/185/2846/861/5338/5468/9618/3718/55970/5900/2260/2768/2778/2776/3566/7482/2034/115/7157/10000/7428/5154/999/7472/2252/5566/2263/2335/3479/6777/7048/2947/119391/6934/23493/4233/5156/54583/11211/7170/51176/25780/5727/5602/4254/890/3910/1164/3918/2791/355/5290/898/23401/10319/5970/4258/2788/2736/4853/23462/3454/8648/1902/1909/59345/9817/3655/2770/3575/405/652/2735/6093/10342/2950/29119/637/5733/7039/8202/64399/613/332/8503/10928/26508/5732/1029/208/1496/1870/354/6608/840/2323/1163/1286/8312/2885/1436/331/109/1285/3815/9475/1488/896/3716/4087/6778/1487/4193/2246/2773/25/5601/5291/6502/2271/9915/1017/2057/5888/5979/894/1288/1869/5599/8321/5567/26060/862/4292/7296/4855/91860/5734/7184/675/4893/5747/1019/1441/1027/83439/7704/9170/57449/51684/207/6773/817/4041/27436/5925/5293/4088/6500/7423/841/4149/2264/867/112399/624/7424/1499/9978/5594/1026/2324/6654/7046/3563/196883/4436/83593/2002/6667/2475/2064/4286/111/28514/5728/6688/2949/2767/6198/3066/2782/2254/5335/581/4089/2113/4851/10235/5296/8900/7976/10018/6513/7186/6256/2783/54567/4824/7422/7476/3459/5366/3673/3845/6257/1495/1857/3551/6789/3326/8313/6932/3675/7475/5579/3714/596/650/1398/836/2941/2353/3559/10125/3162/356/369/2784/6199/2932/2255/10681/2787/7474/5899/3915/9965/1643/4313/3594",295
"hsa05016","hsa05016","Huntington disease","179/3790","306/8163",1.05742738740794e-05,0.000366927303430556,0.000261574143200912,"5332/64446/2891/6391/5437/5705/5432/27089/4722/516/5691/4728/5702/54539/3831/10383/6506/1345/23236/5700/5714/515/3065/3708/5468/2776/10126/7157/23186/9377/627/2882/4704/126328/5602/3798/5685/4724/5434/5690/1337/1347/4705/10376/291/4217/146754/7846/518/4708/56171/5436/1349/7381/8701/7419/1770/498/5709/8678/84790/7979/1351/5719/3092/5430/56901/5713/7052/10381/5601/9821/203068/7384/22863/3800/5599/5433/1340/7019/9586/4712/6647/1385/84516/5684/6507/148327/25981/4512/1212/6875/4707/5431/5692/5689/4700/841/6389/4710/4702/9706/196385/5289/1767/10121/6667/2475/5682/293/1768/127602/161/3066/1329/5715/522/581/1327/374291/2904/27019/5435/4701/513/29796/201625/1213/4716/4726/7802/506/10213/4513/55626/64764/5693/4541/83544/26100/7186/2915/539/11258/55967/5694/3799/2081/64837/5695/5440/517/51079/4706/292/5686/10120/5683/347733/90993/55860/836/4696/1350/10540/4694/55567/2902/1639/51164/4723/163/1175/5439/6804/5704/7385/84617/1346",179
