SYMBOL	ENTREZID	GENETYPE
AMH	268	protein-coding
MLH1	4292	protein-coding
MSH2	4436	protein-coding
MSH6	2956	protein-coding
KRAS	3845	protein-coding
PIK3CA	5290	protein-coding
PMS2	5395	protein-coding
TP53	7157	protein-coding
ERBB2	2064	protein-coding
GNRH1	2796	protein-coding
ARID1A	8289	protein-coding
POLE	5426	protein-coding
PGR	5241	protein-coding
ESR2	2100	protein-coding
CTNNB1	1499	protein-coding
PTEN	5728	protein-coding
CYP19A1	1588	protein-coding
ESR1	2099	protein-coding
HRAS	3265	protein-coding
AKT1	207	protein-coding
VEGFA	7422	protein-coding
